,Segmentation,Obs,Customer,I.tend.to.plan.things.very.carefully.,I.sometimes.have.trouble.controlling.my.spending.,I.think.it.is.important.to.purchase.products.that.are.made.locally.,I.carefully.consider.the.health.benefits.of.what.I.eat.,Segment,Please indicate how important the following factors are when you visit a restaurant - Convenient,Please indicate how important the following factors are when you visit a restaurant - Variety,Please indicate how important the following factors are when you visit a restaurant - Value,Please indicate how important the following factors are when you visit a restaurant - Healthy,Please indicate how important the following factors are when you visit a restaurant - Taste,Please indicate how important the following factors are when you visit a restaurant - Staff,Please indicate how important the following factors are when you visit a restaurant - Ambiance,Please indicate how important the following factors are when you visit a restaurant - Consistency,Please indicate how important the following factors are when you visit a restaurant - Community,Please indicate how important the following factors are when you visit a restaurant - Other,What is your gender?,What is your age?,What is your approximate average annual household income?,How would you best describe your household type?
0,Seg3,2,0,1,2,3,2,1.0,,,,,,,,,,,,,,
1,Seg3,3,0,1,3,3,2,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,2.0
2,Seg1,4,0,2,4,3,2,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,1.0
3,Seg1,5,0,2,4,1,2,5.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0,,1.0,2.0,1.0,1.0
4,Seg1,10,0,2,4,2,3,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,2.0
5,Seg1,12,0,2,4,2,1,5.0,,,,,,,,,,,,,,
6,Seg3,13,0,2,2,3,3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,,1.0,3.0,1.0,2.0
7,Seg2,17,0,1,2,1,1,5.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,1.0,2.0,2.0,3.0
8,Seg3,18,0,3,3,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0
9,Seg1,20,0,1,4,3,2,2.0,,,,,,,,,,,,,,
10,Seg1,21,0,2,4,2,2,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,,1.0,2.0,2.0,1.0
11,Seg1,22,0,2,4,2,3,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,,1.0,2.0,2.0,2.0
12,Seg2,24,0,1,4,2,1,3.0,,,,,,,,,,,,,,
13,Seg1,25,0,2,3,2,2,2.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,,2.0,1.0,2.0,1.0
14,Seg2,26,0,1,3,2,1,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,2.0,3.0,3.0,2.0
15,Seg1,28,0,2,4,2,1,3.0,,,,,,,,,,,,,,
16,Seg2,29,0,2,2,1,2,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0
17,Seg1,30,0,2,4,2,2,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,,1.0,3.0,1.0,2.0
18,Seg3,31,0,1,3,3,2,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,3.0,2.0,2.0
19,Seg2,32,0,2,2,1,2,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0
20,Seg1,34,0,1,4,2,2,2.0,,,,,,,,,,,,,,
21,Seg1,38,0,3,4,2,2,4.0,,,,,,,,,,,,,,
22,Seg1,40,0,3,3,2,1,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0
23,Seg2,41,0,1,4,2,1,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,,1.0,3.0,2.0,2.0
24,Seg2,42,0,1,3,2,1,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0
25,Seg3,43,0,2,4,2,4,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,Cleanliness,2.0,2.0,1.0,2.0
26,Seg1,45,0,2,3,2,2,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,Clean,,,,
27,Seg2,46,0,2,2,1,2,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0
28,Seg1,48,0,4,3,2,2,3.0,,,,,,,,,,,,,,
29,Seg2,49,0,1,2,1,2,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,3.0,2.0
