,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20200414,2020,04,14,4,Google 사용자,평소에 생각하지 않고 먹었던 음식을 신호등 색깔로 표시해서 덜먹여야하고 더먹어도 좋은 음식을 판가름할 수 있어서 좋았어요. 때에 따라 시중에 판매하는 음식인데 아직 등록이 안되어 있거나 같은 음식인데도 등록된 이름에따라 빨간색일수도 있고 노란색일 수도 있는게 혼란스러웠지만 대체로는 적절히 잘 조절 할 수 있게 도와줘서 많은 도움이됬어요! 코치님도 강요하거나 억지로 유도하지않고 일정 텀을 두고 쳐지는것 같으면 바로 달려와서 피드백 주시는게 저한테는 딱이었습니다!
1,2,20220920,2022,09,20,4,daldal,"눔에서 제공하는 식단 기록이나 코치님과의 소통, 피드백 등은 굉장히 만족스럽습니다. 다만 운동 기록을 당일에만 기입 가능한 점 / 한 번 기록하면 수정이 안 되는 점ㅜ / 그리고 운동 가지수가 적은 점 포함 앱 내 버그나 이런 기능적인 게 피드백 반영이 (본사 통해서 오다보니) 너무 느린 건 좀 아쉬워요"
2,3,20220902,2022,09,02,4,나현지,"전체적인 기능과 추구하는 식단 방향 모두 건강한 식습관 형성으로 매우 만족스럽지만 몇몇 기능들이 아쉽습니다 1. 음식별 탄단지 표시가 없음 2. 단순한 운동 기록 (삼성헬스와 연동되었으면 하는 바람) 3. 목표 칼로리 수정의 어려움 -> 인바디 기초로 수정하고 싶은데 어려움.. 일단 다이어트보다 건강한 식습관 위주로 되어 있어서, 기초대사량이 꽤 높게 설정되어 있는 것 같은 느낌!"
3,4,20220811,2022,08,11,3,Jina.H,"앱이 일단 좋게말하면 심플하고 나쁘게 말하면 뭐가 없고 한눈에 점검이 안됩니다.. 이번주, 이번달 며칠을 기록했고 잘먹었고 표시하는 기본적인 캘린더 기능도 없어요 운동기록은 숨겨져있어서 별도로 버튼을 눌러야하고, 날이 지나면 기록도 못해요 밤에 운동하는 직장인으로서 너무 별로 거기다 식단관리 시스템도 공감이 안가요 샐러드, 고구마, 닭가슴살로만 먹어도 종합하면 빨간불이 들어오는 형태라.. 힘이 빠집니다 동기부여도 잘 안되고 무조건 채소,과일 많이 먹어라하는 식이라 탄단지 비율, 당류 뭐 이런 정보도 바로 알려주질 않아요 코치가 통지해줄때까지 기다려야하죠. 뭐.. 정말 맨날 인스턴트 드시고 운동도 거의 처음해보시는 분들이 기본 습관 잡기는 좋을수있어도 기본적으로라도 탄단지 비율로 식단을 챙기고 운동을 자주한다면 아주강하게 비추에요.."
4,5,20221019,2022,10,19,1,S.Y. JANG,로그인 진행중에 화면이 하얗게 바뀌고 멈춤현상이 지속됩니다. 이거때문에 메일보내도 답장도 없고 나아지는게 없네요.지우고 다시 다운받아도 똑같아요
5,6,20221017,2022,10,17,4,힐링아무,"혼자서 식단관리와 체중감량 힘들어서 다이어트 어플 찾다가 눔 하게 됐어요. 영양심리전문코치가 1:1 맞춤 상담도 하고, 강압적이지 않으면서 동기부여 잘 해주시니까 좋으네요. 어플도 심플하고 복잡하지 않아 사용하기 편해요."
6,7,20220718,2022,07,18,5,빽근,눔에서 제공해주는 서비스는 만족스럽게 사용중. 계속 사용할 예정. 식단기록도 편하고 딱 사용하기 편한 디자인이다. 코치님을 통한 관리 서비스도 매우 만족한다. 하지만 앱 자체 버그(스마트기기 동기화 에러) 수정이나 요청사항(잘못기록한 운동기록 삭제) 적용이 해외에 있는 본사 통해서 진행되는 상태라 패치 속도가 살짝 아쉽다
7,8,20220929,2022,09,29,1,김승민,오랜만에 다시 시작해보는 어플인데.. 화면이 로그인되고 나서 하얀 화면으로 먹통이네요.. 예전에 유로도 가입했었는데. 그것도 모두 초기화돤거 같고.. 나름 잘활용했던거라.. 다시 시작해볼려고 했는데. 아무것도 할 수가 없네요..ㅡㅡ
8,9,20220823,2022,08,23,4,Jihyun Kim,몇년동안 오래 썼는데 최근에는 엄청 느려지더니 얼마전부턴 화면이 안뜨고 하얀 화면만 나옵니다. 삭제하고 재설치해도 로그인하면 다시 그러네요.
9,10,20220705,2022,07,05,2,Harim Jung,요즘 눔 앱이 느려요. 너무 느려요. 앱 자체 진입도 느리고(룸로고랑 흰바탕만 보임) 식단 기록하면 입력이 너무 늦어서 기록안된지 알고 다시 클릭하면 여러개가 등록되고... 유료코칭은 좋은데 앱이 너무 후져서 계속 코칭을 받을지 고민중
